fips,Model,Wave,both_mape,both_rmse,ext_only_mape,ext_only_rmse,int_only_mape,int_only_rmse,none_mape,none_rmse
1,Linear Regression,First,0.2878612565023265,0.04799309271295438,0.2623546787058696,0.047708837718195674,0.2880599043734791,0.05643776820577018,0.2732587695706481,0.05575864928895517
1,Linear Regression,Second,1.4311980496678047,0.22030289926899305,1.5525025611775758,0.22772145684231013,2.146808144355797,0.2834664897654867,2.3754770135795695,0.29521094504549067
1,Linear Regression,Third,0.8559746726980532,0.1087190645394571,0.8587740036317559,0.1095835922026265,0.9464810119729232,0.11515598126474538,0.9714946395399883,0.11722562765036122
1,Linear Regression,All,0.23877933954093072,0.08510320919940266,0.2341871924428886,0.08615862703248048,0.24212060012605327,0.08496031687531047,0.23862433501463168,0.08626690802251874
1,Random Forest,First,0.2422611767814394,0.03908342268447789,0.23081451987770324,0.03523556411697719,0.23838554741854998,0.03891699097406966,0.24455309161934777,0.03805422467044709
1,Random Forest,Second,1.7072937932782928,0.2233106879244935,1.6311967205253903,0.22769914949791162,2.108860986518022,0.29954269542524575,2.091749006217662,0.3049492944426151
1,Random Forest,Third,0.6769808034044564,0.08295933035163618,0.6597837188795491,0.08005053825713848,0.7451038496686239,0.08581415543764906,0.6998826167282224,0.08318668599100984
1,Random Forest,All,0.324847735124527,0.06483080885917447,0.327677436725145,0.06408242662094125,0.33471475568750514,0.06649238248592601,0.3370877213877269,0.06607280532521467
1,Gradient Boost,First,0.08288030607778624,0.03314061828682799,0.0799252229783783,0.029970727071556243,0.11845682726545434,0.04161054593880702,0.12811352593175548,0.03939243569576876
1,Gradient Boost,Second,1.6997193739156706,0.2440657921522603,1.707713503996877,0.24987818056034622,1.7844728094598754,0.3262956880745942,1.8406891382788202,0.3708289665242517
1,Gradient Boost,Third,0.639438337386457,0.08654110518867397,0.6213973039645998,0.07891854358264555,0.6297111526312726,0.10286902789116284,0.34510740179970395,0.09804164776079032
1,Gradient Boost,All,0.13524363085406166,0.06156638048920101,0.12989671122671909,0.05787319837575933,0.17118675453253568,0.07084231774257968,0.16834507500252602,0.07162138777340774
1,SVM,First,0.6144715165799924,0.05199628229100117,0.559948385393156,0.05228297660315971,0.34430799908844356,0.056293266273673384,0.35317284872686117,0.05376670258473469
1,SVM,Second,1.4696253368093513,0.20844197684860682,1.5252787928190163,0.22237012239550252,1.6169273076032797,0.29859835803537405,1.523037104696454,0.2960082414239149
1,SVM,Third,0.6566525043289594,0.08781350357914064,0.643414617523117,0.08807733400706241,0.7284591474936322,0.09934882332891651,0.733496747195273,0.09800726629426053
1,SVM,All,0.7842930707848913,0.09304354161697077,0.7265560795354433,0.09316284783455095,0.7838218361462587,0.0931935058312931,0.6894872383768031,0.0923271579021917
1,MLP,First,0.41203555868415015,0.04389876099595371,0.3869730678666988,0.04232918567251677,0.4108492009389111,0.04547392157075782,0.40395410898922746,0.04473907396572309
1,MLP,Second,1.5533701827108586,0.23610355034876282,1.6230740147609914,0.21309803914846093,2.2189080098429077,0.28855843852158447,2.324151965601769,0.3017436600822968
1,MLP,Third,0.6406193035464399,0.0770596139091585,0.6224102000883244,0.07762985916658298,0.806122103534283,0.07885441359007472,0.7871113614202212,0.07714637101568542
1,MLP,All,0.2684839445812742,0.07935360135459085,0.2777973199372503,0.08264834954276368,0.26984912170639136,0.08481887452260442,0.30771255654819496,0.08549239421516537
10,Linear Regression,First,1.1736209555364678,0.17127816195186113,1.5779465924955374,0.22403878549555603,1.6464030562837109,0.1889855740764625,1.5669745490821885,0.2227147759770336
10,Linear Regression,Second,0.7300624099392667,0.16754427594555926,0.733597665046197,0.16649662107871827,0.8285612666799077,0.1845856594138605,0.951113593624596,0.19337752170395156
10,Linear Regression,Third,1.054266990210802,0.11117249515886105,1.1942627086239626,0.11899452212679507,2.0985301967400636,0.16172832676571308,2.266653672568447,0.17003526870895178
10,Linear Regression,All,0.4334505020428006,0.07819185834044128,0.46755038514435565,0.08539424028042317,0.3728004816827043,0.09690183699732846,0.3792437010191562,0.0970913555732865
10,Random Forest,First,0.3174394080919114,0.16737983911949847,0.31403888693021903,0.16747255645728917,0.37775881133490147,0.1867262693518026,0.4012493207751904,0.203588417291272
10,Random Forest,Second,0.7567116522903519,0.15304646534793656,0.7640358470745443,0.15848381317262156,0.8679285565596111,0.17670944380034342,0.9216936006226085,0.18386564239396472
10,Random Forest,Third,0.4283587152590913,0.04412344571044541,0.44093127500173307,0.04459481550123552,0.4209287111373765,0.0422498222310956,0.4074949734941436,0.0418248285840106
10,Random Forest,All,0.25195147800600487,0.046403834343746286,0.2534552582000349,0.04416101501238292,0.2615114400202051,0.0539507502493487,0.2547631967165203,0.052250989059523835
10,Gradient Boost,First,0.2670883262442817,0.15062158519992225,0.2619094837847327,0.1628767378013885,0.33166811171285315,0.16664256190555107,0.4433123108334834,0.25155349041447633
10,Gradient Boost,Second,0.8328109076848504,0.15542365741118994,0.7481697143909017,0.14494761491974095,0.8750294623338346,0.2050649112951875,0.9405278404263179,0.21726567037944816
10,Gradient Boost,Third,0.3281215071384287,0.03600958712467462,0.3815980599541393,0.04011690669451153,0.37250333421035775,0.037823840692193814,0.31340133442865487,0.03600780186913342
10,Gradient Boost,All,0.19703480288650085,0.03905620851631592,0.19096001623352135,0.03783925714388092,0.22616389043801527,0.05360769110963356,0.24188098502712257,0.05919288745124888
10,SVM,First,0.7046551788622559,0.13000682075421677,0.8039981504243199,0.15837617751389826,1.0115557878942043,0.16108249768754052,1.0105800457058893,0.21629532102318275
