date,Ext_risk_c,Ext_risk_d,cases_pc,deaths_pc,Int_risk_c,Int_risk_d
2020-05-28,2322308.143428067,184324.48832255206,171.97606408430485,17.085019787098698,48556065.8856908,4823818.65672902
2020-05-29,2581145.9325667373,209467.5930662551,160.2107621551331,16.409500059107977,49725575.51466159,5093114.990345697
2020-05-30,2827686.074264111,229955.19137322536,150.13425954593816,16.128033505778507,47130897.42795864,5062992.918301518
2020-05-31,2370465.6794146476,195361.39869230916,135.01950563214572,15.086607258459477,39159437.17947996,4375538.529956485
2020-06-01,2513831.675749296,199732.68405418238,130.57233408954013,14.495527496467595,39807979.21088037,4419294.954430565
2020-06-02,2297157.2909787605,176995.50570423555,128.46133493956913,14.073327666473393,37977281.3708547,4160526.0046948623
2020-06-03,2202945.2936728178,171662.00363339382,115.0916736564194,12.94746145315552,34828812.09855833,3918134.8900310174
2020-06-04,2287396.801413947,184157.91455379126,113.8813674771027,11.962328516502383,35315067.58011945,3709565.9222814552
2020-06-05,2426538.638317072,189208.11990857802,107.94242320185093,11.286808788511662,33661844.67549721,3519791.3206973616
2020-06-06,2516284.084029729,195865.87306154246,107.2669034738602,10.695729026519778,33508786.175488766,3341206.703407434
2020-06-07,2090099.428611903,163664.51122611584,98.93549349530795,10.639435715853885,28732944.95640083,3089915.5600340012
2020-06-08,2136257.054737845,171378.55863759413,91.0262833467499,9.626156123867801,28311449.77792289,2993975.208425983
2020-06-09,2039071.274315776,163718.11999092766,81.37198056754916,9.232102949206546,25536154.941708278,2897218.547519998
2020-06-10,1974027.1554345028,152691.86263404897,86.10061866348421,8.922489740544131,26965250.054885976,2794372.1044128328
2020-06-11,1946795.9135920724,143218.52398210263,81.68159377621157,9.006929706542971,24654037.131067716,2718570.600255572
2020-06-12,2233484.6822732585,168390.48195975635,82.38526015953524,8.190676701887515,27224621.146019217,2706650.069522239
2020-06-13,2459411.1830264544,185708.0321927931,83.65185964951785,7.71218356122742,27654970.192692,2549617.03660754
2020-06-14,2073785.9113434535,157340.03880301112,81.25939394621737,7.233690420567324,23644127.115924817,2104794.1353628947
2020-06-15,1509351.2617220702,122557.68206586578,70.22590505570223,6.755197279907229,21163278.74758642,2035746.2522728425
2020-06-16,1374300.7085728946,109081.01345055632,66.70757313908388,6.698903969241335,20040822.783028692,2012538.3216712358
2020-06-17,1490798.5236466106,121111.13557832628,65.80688016842959,6.47373072657776,21138551.85458312,2079498.2577220348
2020-06-18,1527926.5817808437,120844.1261965672,61.95078838781588,6.164117517915346,19339549.31575481,1924289.5502727411
2020-06-19,1712299.0150344246,134795.3214943292,59.02353623318941,5.629331066589357,18391025.607827023,1754032.0083764445
2020-06-20,1945760.0962262647,153333.01480181227,53.39420516660005,5.5167444452575705,16624499.355441593,1717660.4500087255
2020-06-21,1631895.1777405941,123954.22911197014,50.29807307997591,5.319717857926943,13670915.666991292,1445888.6743488272
2020-06-22,1692097.5300169936,118505.26733486143,47.56784751268007,5.038251304597475,14594338.863212883,1545790.9210148558
2020-06-23,1660918.6135679043,107242.91546644662,48.41224717266847,5.066397959930422,14726666.70419554,1541162.7946251146
2020-06-24,1714276.4085475306,107327.8322860441,44.07766225139466,4.700491440602113,13691006.749567948,1460024.346856863
2020-06-25,1857611.223421957,138076.64902006794,43.148822625407426,4.278291610607911,13606031.940824473,1349065.1369897714
