date,Ext_risk_c,Ext_risk_d,cases_pc,deaths_pc,Int_risk_c,Int_risk_d
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,8.441201976243704,0.0,0.0,0.0,0.0,0.0
2020-01-25,37.26715234729973,0.0,0.0,0.0,0.0,0.0
2020-01-26,60.89054364343888,0.0,0.013297695509368226,0.0,9059.852927487666,0.0
2020-01-27,51.465376516792496,0.0,0.013297695509368226,0.0,10171.034959641494,0.0
2020-01-28,48.80510821414135,0.0,0.013297695509368226,0.0,10055.557771838141,0.0
2020-01-29,47.887311924786005,0.0,0.013297695509368226,0.0,10132.897168920626,0.0
2020-01-30,64.4507778458314,0.0,0.013297695509368226,0.0,10426.031568729139,0.0
2020-01-31,111.78364438627263,0.0,0.013297695509368226,0.0,11275.980372601429,0.0
2020-02-01,135.2137660521284,0.0,0.013297695509368226,0.0,13237.124506323054,0.0
2020-02-02,204.43845747683653,0.0,0.013297695509368226,0.0,11070.437893113123,0.0
2020-02-03,191.7807461852518,0.0,0.013297695509368226,0.0,12493.198228746958,0.0
2020-02-04,168.5245161947313,0.0,0.013297695509368226,0.0,11386.923046236087,0.0
2020-02-05,179.4508732890587,0.0,0.013297695509368226,0.0,11294.304597013337,0.0
2020-02-06,197.66293356399152,0.0,0.013297695509368226,0.0,11319.171287615856,0.0
2020-02-07,246.67203588309079,0.0,0.013297695509368226,0.0,12797.250036568663,0.0
2020-02-08,237.4128147908689,0.0,0.013297695509368226,0.0,12594.141035358572,0.0
2020-02-09,164.7630513171347,0.0,0.0,0.0,0.0,0.0
2020-02-10,163.0697840855406,0.0,0.0,0.0,0.0,0.0
2020-02-11,152.23139077625575,0.0,0.0,0.0,0.0,0.0
2020-02-12,168.1266711694417,0.0,0.0,0.0,0.0,0.0
2020-02-13,208.74950551854607,0.0,0.0,0.0,0.0,0.0
2020-02-14,235.4955104302487,0.0,0.0,0.0,0.0,0.0
