date,Ext_risk_c,Ext_risk_d,cases_pc,deaths_pc,Int_risk_c,Int_risk_d
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,5.855536903407509,0.0,0.0,0.0,0.0,0.0
2020-01-25,10.278631217637674,0.0,0.0,0.0,0.0,0.0
2020-01-26,23.202598099387345,0.0,0.0,0.0,0.0,0.0
2020-01-27,23.35893944301033,0.0,0.0,0.0,0.0,0.0
2020-01-28,23.666063600990526,0.0,0.0,0.0,0.0,0.0
2020-01-29,24.005206014356162,0.0,0.0,0.0,0.0,0.0
2020-01-30,33.396618305138425,0.0,0.0,0.0,0.0,0.0
2020-01-31,40.65710119629916,0.0,0.0,0.0,0.0,0.0
2020-02-01,46.21269294567771,0.0,0.0,0.0,0.0,0.0
2020-02-02,55.22683151877065,0.0,0.0,0.0,0.0,0.0
2020-02-03,58.110488816245024,0.0,0.0,0.0,0.0,0.0
2020-02-04,55.34949694672486,0.0,0.0,0.0,0.0,0.0
2020-02-05,63.307110099430915,0.0,0.0,0.0,0.0,0.0
2020-02-06,67.66197780827395,0.0,0.0,0.0,0.0,0.0
2020-02-07,65.35458945138315,0.0,0.0,0.0,0.0,0.0
2020-02-08,60.7210232709162,0.0,0.0,0.0,0.0,0.0
2020-02-09,40.43365359033263,0.0,0.0,0.0,0.0,0.0
2020-02-10,49.353515564771314,0.0,0.0,0.0,0.0,0.0
2020-02-11,47.83131307371719,0.0,0.0,0.0,0.0,0.0
2020-02-12,54.72792961044462,0.0,0.0,0.0,0.0,0.0
2020-02-13,57.24500614850057,0.0,0.0,0.0,0.0,0.0
2020-02-14,64.84062947506425,0.0,0.0,0.0,0.0,0.0
2020-02-15,45.88640266706234,0.0,0.0,0.0,0.0,0.0
2020-02-16,27.68330879029954,0.0,0.0,0.0,0.0,0.0
2020-02-17,89.25945391064022,0.0,0.0,0.0,0.0,0.0
