date,Ext_risk_c,Ext_risk_d,cases_pc,deaths_pc,Int_risk_c,Int_risk_d
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.4455299817810061,0.0,0.0,0.0,0.0,0.0
2020-01-25,1.7949315179637262,0.0,0.0,0.0,0.0,0.0
2020-01-26,6.557070491924972,0.0,0.0,0.0,0.0,0.0
2020-01-27,6.389036529797501,0.0,0.0,0.0,0.0,0.0
2020-01-28,6.26167985342646,0.0,0.0,0.0,0.0,0.0
2020-01-29,5.849347148870725,0.0,0.0,0.0,0.0,0.0
2020-01-30,6.991100206302891,0.0,0.0,0.0,0.0,0.0
2020-01-31,9.680309840811645,0.0,0.0,0.0,0.0,0.0
2020-02-01,8.087944738253306,0.0,0.0,0.0,0.0,0.0
2020-02-02,10.783683389363242,0.0,0.0,0.0,0.0,0.0
2020-02-03,10.587959451716308,0.0,0.0,0.0,0.0,0.0
2020-02-04,9.131502212007582,0.0,0.0,0.0,0.0,0.0
2020-02-05,9.306506054560925,0.0,0.0,0.0,0.0,0.0
2020-02-06,9.945218165341851,0.0,0.0,0.0,0.0,0.0
2020-02-07,11.753740053028363,0.0,0.0,0.0,0.0,0.0
2020-02-08,11.893106180167353,0.0,0.0,0.0,0.0,0.0
2020-02-09,5.55395002788971,0.0,0.0,0.0,0.0,0.0
2020-02-10,5.826808427622742,0.0,0.0,0.0,0.0,0.0
2020-02-11,4.780891868905207,0.0,0.0,0.0,0.0,0.0
2020-02-12,5.921382685892602,0.0,0.0,0.0,0.0,0.0
2020-02-13,6.81298260577409,0.0,0.0,0.0,0.0,0.0
2020-02-14,6.542634577286989,0.0,0.0,0.0,0.0,0.0
2020-02-15,6.19254723678088,0.0,0.0,0.0,0.0,0.0
2020-02-16,3.1346077565349244,0.0,0.0,0.0,0.0,0.0
2020-02-17,12.391646097206394,0.0,0.0,0.0,0.0,0.0
