date,Ext_risk_c,Ext_risk_d,cases_pc,deaths_pc,Int_risk_c,Int_risk_d
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,23.796074562624806,0.0,0.0,0.0,0.0,0.0
2020-01-25,24.75722285954267,0.0,0.0,0.0,0.0,0.0
2020-01-26,41.791953990999865,0.0,0.0,0.0,0.0,0.0
2020-01-27,42.10376467272269,0.0,0.0,0.0,0.0,0.0
2020-01-28,41.17850863395469,0.0,0.0,0.0,0.0,0.0
2020-01-29,45.00849412916058,0.0,0.0,0.0,0.0,0.0
2020-01-30,74.80142326358262,0.0,0.0,0.0,0.0,0.0
2020-01-31,87.98145480184422,0.0,0.0,0.0,0.0,0.0
2020-02-01,99.85448963390569,0.0,0.0,0.0,0.0,0.0
2020-02-02,97.47496951304558,0.0,0.0,0.0,0.0,0.0
2020-02-03,105.2029707366013,0.0,0.0,0.0,0.0,0.0
2020-02-04,93.90554650936166,0.0,0.0,0.0,0.0,0.0
2020-02-05,111.75721597041172,0.0,0.0,0.0,0.0,0.0
2020-02-06,118.07326028126914,0.0,0.0,0.0,0.0,0.0
2020-02-07,99.03299813471419,0.0,0.0,0.0,0.0,0.0
2020-02-08,97.57446289613375,0.0,0.0,0.0,0.0,0.0
2020-02-09,63.0466809692646,0.0,0.0,0.0,0.0,0.0
2020-02-10,75.21696061472659,0.0,0.0,0.0,0.0,0.0
2020-02-11,71.05601080247999,0.0,0.0,0.0,0.0,0.0
2020-02-12,82.89250922946793,0.0,0.0,0.0,0.0,0.0
2020-02-13,69.20099137050173,0.0,0.0,0.0,0.0,0.0
2020-02-14,74.09646058943464,0.0,0.0,0.0,0.0,0.0
2020-02-15,57.08105835422996,0.0,0.0,0.0,0.0,0.0
2020-02-16,37.57560939465926,0.0,0.0,0.0,0.0,0.0
2020-02-17,117.014166035048,0.0,0.0,0.0,0.0,0.0
