Model,Wave,both_mape,both_rmse,ext_only_mape,ext_only_rmse,int_only_mape,int_only_rmse,none_mape,none_rmse
Gradient Boost,All,0.16833958215690792,0.054531155984095865,0.17025335009668502,0.05450527462008676,0.22193595993539095,0.07549081851692697,0.24376188742816876,0.0835616227156188
Gradient Boost,First,0.17420036839186231,0.07188528600550131,0.16884075374802646,0.07445145102181011,0.3078614469343324,0.11289368994862337,0.37607520210456025,0.14466194776461166
Gradient Boost,Second,0.8339191994920202,0.15796740961810252,0.8850648254595467,0.16419306075534248,0.9984593992213776,0.2006540260153445,1.0378538043430627,0.22304338001211108
Gradient Boost,Third,0.3521564557742719,0.08068881572549866,0.3409539760886144,0.08001167600812796,0.4920517099373892,0.10876909451208712,0.469467510418837,0.11784709845565047
Linear Regression,All,0.4974949460986242,0.09894201342485086,0.5356175532178233,0.1019621751017275,0.46447884377765347,0.10456771479168879,0.5122844992187692,0.10767328697734455
Linear Regression,First,0.9376253118899054,0.12803341043594516,1.0935631687512244,0.14479439334605798,1.0289587458242027,0.14287746589183167,1.0644876806146686,0.16071233218343853
Linear Regression,Second,1.207838231354399,0.17973753060460537,1.251127912319654,0.18475469594867228,1.3503833322652623,0.19924975472341355,1.4111107089102974,0.2069204299510392
Linear Regression,Third,1.1423144007655224,0.16436505278471014,1.1740640585507511,0.16547088240074395,1.3688701433766304,0.1830897569350082,1.4012833739846642,0.1830828198130488
MLP,All,0.3550813264500052,0.06755154681786117,0.37125496192335644,0.07023817787679447,0.3856898297033069,0.0799618257196917,0.40725354780608136,0.08416202869270142
MLP,First,0.4363204679854524,0.07826174585758389,0.4728474848988192,0.08860344392458953,0.5774467010374063,0.1042166542930265,0.6888254945877729,0.13209662747905215
MLP,Second,0.9061269992424202,0.15783273346239438,0.9526564509236777,0.1572529428608946,1.0993048003333656,0.1847537954981562,1.1176173450252298,0.18963634985955205
MLP,Third,0.43333146148925444,0.0853815520554149,0.4205840519816728,0.0895056928316785,0.5842933524751833,0.11440532632836828,0.602728972241388,0.1101110286625308
Random Forest,All,0.30631612464612445,0.06267909542965547,0.309679525597297,0.0627337614925376,0.327389591824592,0.07351717022377952,0.3348523285622447,0.07528052904465608
Random Forest,First,0.32803871431691567,0.08161485795791334,0.3286007951139084,0.08286048033606919,0.40518118569559514,0.1127471459358908,0.42323761859288017,0.12272914736553409
Random Forest,Second,0.8803029758101739,0.15320465520505538,0.8859354351241394,0.15463455836105217,1.0034590370267125,0.18251486358538943,1.02179918059787,0.18829982529995712
Random Forest,Third,0.36853644913864564,0.07939828725049086,0.36065303106745694,0.07820100643273281,0.5116353955410287,0.10066252418370945,0.49833410556349816,0.1019650445644379
SVM,All,0.779410473967372,0.08903830802023176,0.7711136672940566,0.09245494802074233,0.7522594555543045,0.0967558023114032,0.7580854602621401,0.10033261488527602
SVM,First,0.8376459178504666,0.10977246100809138,0.858458001209604,0.12239457950063931,0.849263345653596,0.12942136795183487,0.8983427649556588,0.1510203538088272
SVM,Second,1.0770900158088488,0.16714668352461107,1.1071176963671276,0.1750268353389529,1.1927761964690728,0.19539845987367113,1.2174951244488061,0.20423597790874023
SVM,Third,0.6538250267631276,0.11228978550195251,0.6697718500037526,0.11659797541322034,0.8736857164988521,0.13171396048545003,0.9406371009143578,0.13607845297674617
